"","genus","max.stage","min.stage","GCD","LatRange","LongRange","Extinct","Stage","Regime","phylum","class","order","family"
"279","Intornites","Ladinian","Ladinian",NA,NA,NA,1,"Ladinian","background","Mollusca","Cephalopoda","Ceratitida","Longobarditidae"
"280","Isocrinus","Ladinian","Toarcian",6338.15542850891,8.55393804493671,63.3025435793671,0,"Ladinian","background","Echinodermata","Crinoidea","Isocrinida","Isocrinidae"
"281","Israelites","Ladinian","Ladinian",2472.13276126737,13.7975689254127,17.9799252757778,1,"Ladinian","background","Mollusca","Cephalopoda","Ceratitida","Hungaritidae"
"282","Istreites","Ladinian","Ladinian",22.9057559099742,0.20051986,0.0665142199999984,1,"Ladinian","background","Mollusca","Cephalopoda","Ceratitida","Ptychitidae"
"283","Jablonskyia","Ladinian","Carnian",NA,NA,NA,0,"Ladinian","background","Porifera","Demospongea","Hadromerida","Celyphiidae"
"284","Janaija","Ladinian","Ladinian",874.448486791898,6.59031222428571,16.532449296,1,"Ladinian","background","Mollusca","Bivalvia","Trigoniida","Trigonodidae"
"285","Janopecten","Ladinian","Carnian",NA,NA,NA,0,"Ladinian","background","Mollusca","Bivalvia","Pectinida","Pectinidae"
"286","Joannina","Ladinian","Ladinian",NA,NA,NA,1,"Ladinian","background","Mollusca","Bivalvia","Myalinida","Myalinidae"
"287","Joannites","Ladinian","Norian",10311.9939923403,16.9307866260102,98.9552769664286,0,"Ladinian","background","Mollusca","Cephalopoda","Ceratitida","Joannitidae"
"288","Judahella","Ladinian","Rhaetian",NA,NA,NA,0,"Ladinian","background","Arthropoda","Ostracoda","Podocopida","Cytheruridae"
"289","Kamupena","Ladinian","Ladinian",NA,NA,NA,1,"Ladinian","background","Mollusca","Gastropoda","Murchisoniina","Eotomariidae"
"290","Katosira","Ladinian","Aalenian",8280.61741439265,42.88062645,62.76432632,0,"Ladinian","background","Mollusca","Gastropoda",NA,"Settsassiidae"
"291","Keichousaurus","Ladinian","Ladinian",36.5418793116489,0.222065522089554,0.258064410000006,1,"Ladinian","background","Chordata","Reptilia","Eosauropterygia","Keichousauridae"
"292","Kellnerites","Ladinian","Ladinian",NA,NA,NA,1,"Ladinian","background","Mollusca","Cephalopoda","Ceratitida","Ceratitidae"
"293","Kittlitrochus","Ladinian","Ladinian",NA,NA,NA,1,"Ladinian","background","Mollusca","Gastropoda",NA,"Calliostomatidae"
"294","Koeveskallina","Ladinian","Ladinian",NA,NA,NA,1,"Ladinian","background","Brachiopoda","Rhynchonellata","Spiriferinida","Mentzeliidae"
"295","Laballa","Ladinian","Rhaetian",NA,NA,NA,0,"Ladinian","background","Brachiopoda","Rhynchonellata","Spiriferinida","Laballidae"
"296","Labrilancea","Ladinian","Carnian",15.4645339064299,0.0198076427906984,0.157582586046511,0,"Ladinian","background","Chordata","Chondrichthyes",NA,NA
"297","Ladinaticella","Ladinian","Carnian",5560.23696049296,11.4288854586667,50.8890185556667,0,"Ladinian","background","Mollusca","Gastropoda","Neritoina","Scalaneritinidae"
"298","Laevidentalium","Ladinian","Pliensbachian",NA,NA,NA,0,"Ladinian","background","Mollusca","Scaphopoda","Dentaliida","Laevidentaliidae"
"299","Langdaiceras","Ladinian","Ladinian",NA,NA,NA,1,"Ladinian","background","Mollusca","Cephalopoda","Ammonoidea",NA
"300","Lapteviella","Ladinian","Ladinian",354.406469375474,3.15410959,1.18613124,1,"Ladinian","background","Mollusca","Bivalvia","Nuculanida","Malletiidae"
